user_id,user_name,Region(City),Salary_in_INR,age,gender,occupation
0,Ram,Delhi,570500,38,Female,Data analyst
1,Suraj,Chennai,560000,40,Female,Team leader
6,Deeba,Delhi,582500,55,Female,Information technology
8,Arun,Delhi,637500,25,Female,Manager
10,Abhi,Bangalore,456225,23,Male,worker
12,Shruti,Kolkata,442000,28,Female,Accountant
16,Smriti,Ahmedabad,446500,31,Female,sales
24,Rahul,Pune,585500,57,Female,Information technology
25,Zeba,Bangalore,440500,27,Female,Team leader
26,Alexei,Delhi,442000,28,Female,FINANCE
27,Preti,Chennai,438400,29,Female,Finance
28,Anjali,Kolkata,449500,33,Female,Sales
29,Hari,Chennai,691500,61,Female,Ops Manager
30,Shweta,Delhi,473550,34,Male,ICT Officer
32,Alia,Kolkata,691425,39,Male,QA Software Manager
33,Varun,Pune,445000,30,Female,HEALTHCARE
35,Sid,Kolkata,484575,41,Male,self employed
36,Aliza,Chennai,486150,42,Male,banking
37,Uma,Kolkata,350000,34,Female,nurse
38,Yara,Delhi,486150,42,Male,Executive Manager
52,Dany,Hyderabad,459375,25,Male,software developer
53,John,Kolkata,457000,38,Male,ADMINISTRATIVE OFFICER
56,Tyra,Mumbai,675000,50,Female,manager
60,Kiran,Mumbai,504500,48,Male,Information technology
74,Nisa,Ahmedabad,669375,25,Male,Manager
79,Eden,Bangalore,620000,25,Male,Manager
80,Wasim,Pune,406000,25,Male,worker
84,Qubra,Hyderabad,471975,33,Male,Warehousing
85,Omer,Hyderabad,449500,33,Female,Sales
91,Zara,Kolkata,473550,34,Male,WEB DESIGN
95,David,Bangalore,464100,28,Male,Information Technology
98,Samarth,Ahmedabad,700500,25,Female,Technical Engineer
99,Sarvesh,Delhi,467250,30,Male,Information Technology
100,Vaish,Chennai,601500,43,Female,Information technology
104,Farhan,Pune,470400,32,Male,ADMINISTRATIVE OFFICER
105,Alen,Delhi,437500,25,Female,System Administrator
106,Akshay,Ahmedabad,680400,32,Male,manager
110,Nandha,Bangalore,476700,36,Male,Marketing
111,Laksh,Chennai,455500,37,Female,EDUCATION
112,Chris,Bangalore,545000,30,Female,Security
113,Geethu,Ahmedabad,560000,56,Female,retail
114,Angel,Delhi,492450,46,Male,technician
115,Abraham,Mumbai,300000,37,Female,homemaker
116,Yusuf,Hyderabad,470400,32,Male,teacher
119,Alice,Pune,500000,49,Female,president transportation company
120,Bob,Hyderabad,675000,50,Female,manager
123,Charlie,Mumbai,680400,32,Male,manager
124,Evan,Kolkata,599000,50,Female,manager
126,Ria,Mumbai,440500,27,Female,Information Technology
128,Sophia,Delhi,675000,50,Female,manager
129,Lucas,Chennai,491500,61,Female,Information Technology
137,Maria,Kolkata,450400,29,Female,Information Technology
140,Emma,Kolkata,465675,29,Male,Information Technology
142,Priya,Ahmedabad,680400,32,Male,manager
143,Chloe,Hyderabad,680400,32,Male,manager
144,Rajesh,Pune,457000,38,Male,ADMINISTRATIVE OFFICER
145,Grace,Mumbai,680400,32,Male,manager
148,Silva,Kolkata,596500,31,Female,Data analyst
152,Noah,Ahmedabad,545000,30,Female,Security
154,Zahra,Chennai,470400,32,Male,Information technology
156,Hassan,Hyderabad,458500,39,Female,master degree
160,Ali,Pune,468825,31,Male,construction
162,Jack,Hyderabad,610320,50,Male,Manager
164,Robin,Hyderabad,453075,21,Male,accountant
169,Anderson,Delhi,672310,38,Female,Manager
178,Rossi,Chennai,459375,25,Male,software developer
183,Robinson,Kolkata,475125,35,Male,Team leader
194,Monica,Chennai,492450,46,Male,ADMINISTRATIVE OFFICER
200,Joseph,Ahmedabad,600600,48,Male,Information technology
203,Ananya,Ahmedabad,557000,38,Female,Information technology
204,Michael,Hyderabad,445000,30,Female,ADMINISTRATIVE OFFICER
208,Kavya,Chennai,465675,29,Male,Information Technology
211,Hannah,Ahmedabad,655500,37,Female,SALES MANAGER
215,Diana,Hyderabad,663000,42,Female,Purchase Manager
226,Thomas,Delhi,440500,27,Female,Information Technology
227,Lily,Bangalore,470400,32,Male,Information technology
230,Carlos,Bangalore,486266,29,Female,Information Technology
231,Meera,Kolkata,511350,58,Male,ADMINISTRATIVE OFFICER
232,Patrick,Mumbai,597450,46,Male,writer
233,Zainab,Mumbai,468825,31,Male,construction
234,Oliver,Pune,448000,32,Female,registered
235,Sunita,Pune,508200,56,Male,business
236,Henry,Hyderabad,471975,33,Male,Transportation
237,Amira,Ahmedabad,471975,33,Male,Education
238,Victor,Ahmedabad,535529,30,Male,Security
240,Natalia,Chennai,655500,37,Female,SALES MANAGER
242,Aditya,Delhi,475125,35,Male,HEALTHCARE
243,Javed,Pune,663000,42,Female,Manager
244,Anna,Mumbai,694575,41,Male,MANAGER
245,Ramesh,Delhi,475125,35,Male,HEALTHCARE
246,Noor,Mumbai,667500,45,Female,MANAGER
251,George,Mumbai,481425,39,Male,Computer technician
252,Harleen,Kolkata,511350,58,Male,ADMINISTRATIVE OFFICER
253,Imran,Pune,460000,40,Female,Information Technology
254,Emily,Hyderabad,437500,25,Female,software developer
255,Helena,Pune,460000,25,Male,software developer
256,Faisal,Chennai,497175,49,Male,Information Technology
257,Rebecca,Hyderabad,629075,25,Female,Manager
258,Rubi,Mumbai,669375,25,Male,Executive Manager
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
